Author;Title;Co-Authors;Pagination;Published;Venue
Luiza de Macedo Mourelle;Minimal Adaptive Pattern-Matching Automata for Efficient Term Rewriting.;Nadia Nedjah;221-233;2001;CIAA 2001
João José Neto;Adaptive Rule-Driven Devices - General Formulation and Case Study.;nan;234-250;2001;CIAA 2001
Agata Savary;Typographical Nearest-Neighbor Search in a Finite-State Lexicon and Its Application to Spelling Correction.;nan;251-260;2001;CIAA 2001
Yuri Velinov;On the Software Design of Cellular Automata Simulators for Ecological Modeling.;nan;261-262;2001;CIAA 2001
Lynette van Zijl;Random Number Generation with +-NFAs.;nan;263-273;2001;CIAA 2001
Lynette van Zijl;Supernondeterministic Finite Automata.;nan;274-288;2001;CIAA 2001
Javier Esparza;Back to the Future: A Fresh Look at Linear Temporal Logic.;nan;3-13;2021;CIAA 2021
Jeffrey O. Shallit;Say No to Case Analysis: Automating the Drudgery of Case-Based Proofs.;nan;14-24;2021;CIAA 2021
Stefan Hoffmann;Regularity Conditions for Iterated Shuffle on Commutative Regular Languages.;nan;27-38;2021;CIAA 2021
Brink van der Merwe;Memoized Regular Expressions.;Jacobie Mouton, Steyn van Litsenborgh, Martin Berglund;39-52;2021;CIAA 2021
Jacobie Mouton;Memoized Regular Expressions.;Brink van der Merwe, Steyn van Litsenborgh, Martin Berglund;39-52;2021;CIAA 2021
Steyn van Litsenborgh;Memoized Regular Expressions.;Brink van der Merwe, Jacobie Mouton, Martin Berglund;39-52;2021;CIAA 2021
Martin Berglund;Memoized Regular Expressions.;Brink van der Merwe, Jacobie Mouton, Steyn van Litsenborgh;39-52;2021;CIAA 2021
Stefan Hoffmann;The Commutative Closure of Shuffle Languages over Group Languages is Regular.;nan;53-64;2021;CIAA 2021
Su-Hyeon Kim;Efficient Enumeration of Regular Expressions for Faster Regular Expression Synthesis.;Hyeonseung Im, Sang-Ki Ko;65-76;2021;CIAA 2021
Hyeonseung Im;Efficient Enumeration of Regular Expressions for Faster Regular Expression Synthesis.;Su-Hyeon Kim, Sang-Ki Ko;65-76;2021;CIAA 2021
Sang-Ki Ko;Efficient Enumeration of Regular Expressions for Faster Regular Expression Synthesis.;Su-Hyeon Kim, Hyeonseung Im;65-76;2021;CIAA 2021
Taylor J. Smith;Degrees of Restriction for Two-Dimensional Automata.;Kai Salomaa;77-89;2021;CIAA 2021
Kai Salomaa;Degrees of Restriction for Two-Dimensional Automata.;Taylor J. Smith;77-89;2021;CIAA 2021
Markus Holzer;The Range of State Complexities of Languages Resulting from the Cascade Product - The Unary Case (Extended Abstract).;Christian Rauch;90-101;2021;CIAA 2021
Christian Rauch;The Range of State Complexities of Languages Resulting from the Cascade Product - The Unary Case (Extended Abstract).;Markus Holzer;90-101;2021;CIAA 2021
Cinzia Di Giusto;Guessing the Buffer Bound for k-Synchronizability.;Laetitia Laversa, Étienne Lozes;102-114;2021;CIAA 2021
Laetitia Laversa;Guessing the Buffer Bound for k-Synchronizability.;Cinzia Di Giusto, Étienne Lozes;102-114;2021;CIAA 2021
Étienne Lozes;Guessing the Buffer Bound for k-Synchronizability.;Cinzia Di Giusto, Laetitia Laversa;102-114;2021;CIAA 2021
Stefan Hoffmann;State Complexity of Permutation and Related Decision Problems on Alphabetical Pattern Constraints.;nan;115-126;2021;CIAA 2021
Diana Geneva;Algorithms for Probabilistic and Stochastic Subsequential Failure Transducers.;Georgi Shopov, Stoyan Mihov;127-139;2021;CIAA 2021
Georgi Shopov;Algorithms for Probabilistic and Stochastic Subsequential Failure Transducers.;Diana Geneva, Stoyan Mihov;127-139;2021;CIAA 2021
Stoyan Mihov;Algorithms for Probabilistic and Stochastic Subsequential Failure Transducers.;Diana Geneva, Georgi Shopov;127-139;2021;CIAA 2021
Andreas Maletti;Ambiguity Hierarchies for Weighted Tree Automata.;Teodora Nasz, Kevin Stier, Markus Ulbricht;140-151;2021;CIAA 2021
Teodora Nasz;Ambiguity Hierarchies for Weighted Tree Automata.;Andreas Maletti, Kevin Stier, Markus Ulbricht;140-151;2021;CIAA 2021
Kevin Stier;Ambiguity Hierarchies for Weighted Tree Automata.;Andreas Maletti, Teodora Nasz, Markus Ulbricht;140-151;2021;CIAA 2021
Markus Ulbricht;Ambiguity Hierarchies for Weighted Tree Automata.;Andreas Maletti, Teodora Nasz, Kevin Stier;140-151;2021;CIAA 2021
Martin Kutrib;Boolean Kernels of Context-Free Languages.;Luca Prigioniero;152-164;2021;CIAA 2021
Luca Prigioniero;Boolean Kernels of Context-Free Languages.;Martin Kutrib;152-164;2021;CIAA 2021
Simone Faro;Efficient String Matching Based on a Two-Step Simulation of the Suffix Automaton.;Stefano Scafiti;165-177;2021;CIAA 2021
Stefano Scafiti;Efficient String Matching Based on a Two-Step Simulation of the Suffix Automaton.;Simone Faro;165-177;2021;CIAA 2021
Guy Arbitman;Approximate Hashing for Bioinformatics.;Shmuel T. Klein, Pierre Peterlongo, Dana Shapira;178-189;2021;CIAA 2021
Shmuel T. Klein;Approximate Hashing for Bioinformatics.;Guy Arbitman, Pierre Peterlongo, Dana Shapira;178-189;2021;CIAA 2021
Pierre Peterlongo;Approximate Hashing for Bioinformatics.;Guy Arbitman, Shmuel T. Klein, Dana Shapira;178-189;2021;CIAA 2021
Dana Shapira;Approximate Hashing for Bioinformatics.;Guy Arbitman, Shmuel T. Klein, Pierre Peterlongo;178-189;2021;CIAA 2021
Derick Wood;WIA and Theory and Practice.;nan;1-6;1997;WIA 1997
Miguel A. Alonso;Construction of Efficient Generalized LR Parsers.;David Cabrero Souto, Manuel Vilares Ferro;7-24;1997;WIA 1997
David Cabrero Souto;Construction of Efficient Generalized LR Parsers.;Miguel A. Alonso, Manuel Vilares Ferro;7-24;1997;WIA 1997
Manuel Vilares Ferro;Construction of Efficient Generalized LR Parsers.;Miguel A. Alonso, David Cabrero Souto;7-24;1997;WIA 1997
François Bertault;Visualization of Dynamic Automata Using Padnon.;Gregory Kucherov;25-28;1997;WIA 1997
Gregory Kucherov;Visualization of Dynamic Automata Using Padnon.;François Bertault;25-28;1997;WIA 1997
Janusz A. Brzozowski;Automata of Asynchronous Behaviors.;Radu Negulescu;29-45;1997;WIA 1997
Radu Negulescu;Automata of Asynchronous Behaviors.;Janusz A. Brzozowski;29-45;1997;WIA 1997
Pascal Caron;LANGAGE: A Maple Package for Automaton Characterization of Regular Languages.;nan;46-55;1997;WIA 1997
Max H. Garzon;In Vitro Implementation of Finite-State Machines.;Y. Gao, John A. Rose, R. C. Murphy, Russell J. Deaton, Donald R. Franceschetti, Stanley Edward Stevens Jr.;56-74;1997;WIA 1997
Y. Gao;In Vitro Implementation of Finite-State Machines.;Max H. Garzon, John A. Rose, R. C. Murphy, Russell J. Deaton, Donald R. Franceschetti, Stanley Edward Stevens Jr.;56-74;1997;WIA 1997
John A. Rose;In Vitro Implementation of Finite-State Machines.;Max H. Garzon, Y. Gao, R. C. Murphy, Russell J. Deaton, Donald R. Franceschetti, Stanley Edward Stevens Jr.;56-74;1997;WIA 1997
R. C. Murphy;In Vitro Implementation of Finite-State Machines.;Max H. Garzon, Y. Gao, John A. Rose, Russell J. Deaton, Donald R. Franceschetti, Stanley Edward Stevens Jr.;56-74;1997;WIA 1997
Russell J. Deaton;In Vitro Implementation of Finite-State Machines.;Max H. Garzon, Y. Gao, John A. Rose, R. C. Murphy, Donald R. Franceschetti, Stanley Edward Stevens Jr.;56-74;1997;WIA 1997
Donald R. Franceschetti;In Vitro Implementation of Finite-State Machines.;Max H. Garzon, Y. Gao, John A. Rose, R. C. Murphy, Russell J. Deaton, Stanley Edward Stevens Jr.;56-74;1997;WIA 1997
Stanley Edward Stevens Jr.;In Vitro Implementation of Finite-State Machines.;Max H. Garzon, Y. Gao, John A. Rose, R. C. Murphy, Russell J. Deaton, Donald R. Franceschetti;56-74;1997;WIA 1997
James Glenn;Implementing WS1S via Finite Automata: Performance Issues.;William I. Gasarch;75-86;1997;WIA 1997
William I. Gasarch;Implementing WS1S via Finite Automata: Performance Issues.;James Glenn;75-86;1997;WIA 1997
George Anton Kiraz;Multi-tape Automata for Speech and Language Systems: A Prolog Implementation.;Edmund Grimley-Evans;87-103;1997;WIA 1997
Edmund Grimley-Evans;Multi-tape Automata for Speech and Language Systems: A Prolog Implementation.;George Anton Kiraz;87-103;1997;WIA 1997
Vincent Le Maout;Tools to Implement Automata, a First Step: ASTL.;nan;104-108;1997;WIA 1997
Helmut Lescow;Minimal Separating Sets for Muller Automata.;Jens Vöge;109-121;1997;WIA 1997
Jens Vöge;Minimal Separating Sets for Muller Automata.;Helmut Lescow;109-121;1997;WIA 1997
Denis Maurel;Pseudo-minimal Transducers: A Transducer with Proper Elements.;Laurent Chauvier;122-132;1997;WIA 1997
Laurent Chauvier;Pseudo-minimal Transducers: A Transducer with Proper Elements.;Denis Maurel;122-132;1997;WIA 1997
Charlotte L. Miller;Towards a Meta-Normal Form Algorithm for Context-Free Grammars.;nan;133-143;1997;WIA 1997
Mehryar Mohri;A Rational Design for a Weighted Finite-State Transducer Library.;Fernando C. N. Pereira, Michael Riley;144-158;1997;WIA 1997
Fernando C. N. Pereira;A Rational Design for a Weighted Finite-State Transducer Library.;Mehryar Mohri, Michael Riley;144-158;1997;WIA 1997
Michael Riley;A Rational Design for a Weighted Finite-State Transducer Library.;Mehryar Mohri, Fernando C. N. Pereira;144-158;1997;WIA 1997
Jean-Luc Ponty;An Efficient Null-Free Procedure for Deciding Regular Language Membership.;nan;159-170;1997;WIA 1997
Dominique Revuz;Operations on Extended Automata.;nan;171-175;1997;WIA 1997
Kai Salomaa;Efficient Implementation of Regular Languages Using R-AFA.;Xiuming Wu, Sheng Yu;176-184;1997;WIA 1997
Xiuming Wu;Efficient Implementation of Regular Languages Using R-AFA.;Kai Salomaa, Sheng Yu;176-184;1997;WIA 1997
Sheng Yu;Efficient Implementation of Regular Languages Using R-AFA.;Kai Salomaa, Xiuming Wu;176-184;1997;WIA 1997
Max Silberztein;INTEX: An Integrated FST Toolbox.;nan;185-197;1997;WIA 1997
A. N. Trahtman;A Precise Estimation of the Order of Local Testability of a Deterministic Finite Automaton.;nan;198-212;1997;WIA 1997
Yuri Velinov;Teaching Theory of Computation with Tape Machines.;nan;213-227;1997;WIA 1997
Jens Vöge;None;S. Ulbrand, Oliver Matz, Nils Buhrke;228-231;1997;WIA 1997
S. Ulbrand;None;Jens Vöge, Oliver Matz, Nils Buhrke;228-231;1997;WIA 1997
Oliver Matz;None;Jens Vöge, S. Ulbrand, Nils Buhrke;228-231;1997;WIA 1997
Nils Buhrke;None;Jens Vöge, S. Ulbrand, Oliver Matz;228-231;1997;WIA 1997
Bruce W. Watson;Practical Optimizations for Automata.;nan;232-240;1997;WIA 1997
Djelloul Ziadi;Sorting and Doubling Techniques for Set Partitioning and Automata Minimization Problems.;nan;241-251;1997;WIA 1997
Ming Li;Information Distance and Its Applications.;nan;1-9;2006;CIAA 2006
Grzegorz Rozenberg;Theory Inspired by Gene Assembly in Ciliates.;nan;10;2006;CIAA 2006
Sheng Yu;On the State Complexity of Combined Operations.;nan;11-22;2006;CIAA 2006
Mathieu Giraud;None;Philippe Veber, Dominique Lavenier;23-33;2006;CIAA 2006
Philippe Veber;None;Mathieu Giraud, Dominique Lavenier;23-33;2006;CIAA 2006
Dominique Lavenier;None;Mathieu Giraud, Philippe Veber;23-33;2006;CIAA 2006
Henning Bordihn;Hybrid Extended Finite Automata.;Markus Holzer, Martin Kutrib;34-45;2006;CIAA 2006
Markus Holzer;Hybrid Extended Finite Automata.;Henning Bordihn, Martin Kutrib;34-45;2006;CIAA 2006
Martin Kutrib;Hybrid Extended Finite Automata.;Henning Bordihn, Markus Holzer;34-45;2006;CIAA 2006
German Tischler;Refinement of Near Random Access Video Coding with Weighted Finite Automata.;nan;46-57;2006;CIAA 2006
Martin Simunek;Borders and Finite Automata.;Borivoj Melichar;58-68;2006;CIAA 2006
Borivoj Melichar;Borders and Finite Automata.;Martin Simunek;58-68;2006;CIAA 2006
Pavlos Antoniou;Finding Common Motifs with Gaps Using Finite Automata.;Jan Holub, Costas S. Iliopoulos, Borivoj Melichar, Pierre Peterlongo;69-77;2006;CIAA 2006
Jan Holub;Finding Common Motifs with Gaps Using Finite Automata.;Pavlos Antoniou, Costas S. Iliopoulos, Borivoj Melichar, Pierre Peterlongo;69-77;2006;CIAA 2006
Costas S. Iliopoulos;Finding Common Motifs with Gaps Using Finite Automata.;Pavlos Antoniou, Jan Holub, Borivoj Melichar, Pierre Peterlongo;69-77;2006;CIAA 2006
Borivoj Melichar;Finding Common Motifs with Gaps Using Finite Automata.;Pavlos Antoniou, Jan Holub, Costas S. Iliopoulos, Pierre Peterlongo;69-77;2006;CIAA 2006
Pierre Peterlongo;Finding Common Motifs with Gaps Using Finite Automata.;Pavlos Antoniou, Jan Holub, Costas S. Iliopoulos, Borivoj Melichar;69-77;2006;CIAA 2006
Maxime Crochemore;Factor Oracles.;Lucian Ilie, Emine Seid-Hilmi;78-89;2006;CIAA 2006
Lucian Ilie;Factor Oracles.;Maxime Crochemore, Emine Seid-Hilmi;78-89;2006;CIAA 2006
Emine Seid-Hilmi;Factor Oracles.;Maxime Crochemore, Lucian Ilie;78-89;2006;CIAA 2006
Cédric Bastien;Reducing Simple Grammars: Exponential Against Highly-Polynomial Time in Practice.;Jurek Czyzowicz, Wojciech Fraczak, Wojciech Rytter;90-101;2006;CIAA 2006
Jurek Czyzowicz;Reducing Simple Grammars: Exponential Against Highly-Polynomial Time in Practice.;Cédric Bastien, Wojciech Fraczak, Wojciech Rytter;90-101;2006;CIAA 2006
Wojciech Fraczak;Reducing Simple Grammars: Exponential Against Highly-Polynomial Time in Practice.;Cédric Bastien, Jurek Czyzowicz, Wojciech Rytter;90-101;2006;CIAA 2006
Wojciech Rytter;Reducing Simple Grammars: Exponential Against Highly-Polynomial Time in Practice.;Cédric Bastien, Jurek Czyzowicz, Wojciech Fraczak;90-101;2006;CIAA 2006
Jonathan May;Tiburon: A Weighted Tree Automata Toolkit.;Kevin Knight;102-113;2006;CIAA 2006
Kevin Knight;Tiburon: A Weighted Tree Automata Toolkit.;Jonathan May;102-113;2006;CIAA 2006
Manuel Baclet;Around Hopcroft's Algorithm.;Claire Pagetti;114-125;2006;CIAA 2006
Claire Pagetti;Around Hopcroft's Algorithm.;Manuel Baclet;114-125;2006;CIAA 2006
Florent Nicart;Multi-tape Automata with Symbol Classes.;Jean-Marc Champarnaud, Tibor Csáki, Tamás Gaál, André Kempe;126-136;2006;CIAA 2006
Jean-Marc Champarnaud;Multi-tape Automata with Symbol Classes.;Florent Nicart, Tibor Csáki, Tamás Gaál, André Kempe;126-136;2006;CIAA 2006
Tibor Csáki;Multi-tape Automata with Symbol Classes.;Florent Nicart, Jean-Marc Champarnaud, Tamás Gaál, André Kempe;126-136;2006;CIAA 2006
Tamás Gaál;Multi-tape Automata with Symbol Classes.;Florent Nicart, Jean-Marc Champarnaud, Tibor Csáki, André Kempe;126-136;2006;CIAA 2006
André Kempe;Multi-tape Automata with Symbol Classes.;Florent Nicart, Jean-Marc Champarnaud, Tibor Csáki, Tamás Gaál;126-136;2006;CIAA 2006
Corinna Cortes;On the Computation of Some Standard Distances Between Probabilistic Automata.;Mehryar Mohri, Ashish Rastogi;137-149;2006;CIAA 2006
Mehryar Mohri;On the Computation of Some Standard Distances Between Probabilistic Automata.;Corinna Cortes, Ashish Rastogi;137-149;2006;CIAA 2006
Ashish Rastogi;On the Computation of Some Standard Distances Between Probabilistic Automata.;Corinna Cortes, Mehryar Mohri;137-149;2006;CIAA 2006
Andreas Maletti;Does o-Substitution Preserve Recognizability?;nan;150-161;2006;CIAA 2006
Hartmut Messerschmidt;Correctness Preservation and Complexity of Simple RL-Automata.;Frantisek Mráz, Friedrich Otto, Martin Plátek;162-172;2006;CIAA 2006
Frantisek Mráz;Correctness Preservation and Complexity of Simple RL-Automata.;Hartmut Messerschmidt, Friedrich Otto, Martin Plátek;162-172;2006;CIAA 2006
Friedrich Otto;Correctness Preservation and Complexity of Simple RL-Automata.;Hartmut Messerschmidt, Frantisek Mráz, Martin Plátek;162-172;2006;CIAA 2006
Martin Plátek;Correctness Preservation and Complexity of Simple RL-Automata.;Hartmut Messerschmidt, Frantisek Mráz, Friedrich Otto;162-172;2006;CIAA 2006
Parosh Aziz Abdulla;Bisimulation Minimization of Tree Automata.;Lisa Kaati, Johanna Högberg;173-185;2006;CIAA 2006
Lisa Kaati;Bisimulation Minimization of Tree Automata.;Parosh Aziz Abdulla, Johanna Högberg;173-185;2006;CIAA 2006
Johanna Högberg;Bisimulation Minimization of Tree Automata.;Parosh Aziz Abdulla, Lisa Kaati;173-185;2006;CIAA 2006
Jens Glöckler;Forgetting Automata and Unary Languages.;nan;186-197;2006;CIAA 2006
Hing Leung;Structurally Unambiguous Finite Automata.;nan;198-207;2006;CIAA 2006
Roderick Bloem;Symbolic Implementation of Alternating Automata.;Alessandro Cimatti, Ingo Pill, Marco Roveri, Simone Semprini;208-218;2006;CIAA 2006
Alessandro Cimatti;Symbolic Implementation of Alternating Automata.;Roderick Bloem, Ingo Pill, Marco Roveri, Simone Semprini;208-218;2006;CIAA 2006
Ingo Pill;Symbolic Implementation of Alternating Automata.;Roderick Bloem, Alessandro Cimatti, Marco Roveri, Simone Semprini;208-218;2006;CIAA 2006
Marco Roveri;Symbolic Implementation of Alternating Automata.;Roderick Bloem, Alessandro Cimatti, Ingo Pill, Simone Semprini;208-218;2006;CIAA 2006
Simone Semprini;Symbolic Implementation of Alternating Automata.;Roderick Bloem, Alessandro Cimatti, Ingo Pill, Marco Roveri;208-218;2006;CIAA 2006
Yung-Pin Cheng;On-the-Fly Branching Bisimulation Minimization for Compositional Analysis.;Hong-Yi Wang, Yu-Ru Cheng;219-229;2006;CIAA 2006
Hong-Yi Wang;On-the-Fly Branching Bisimulation Minimization for Compositional Analysis.;Yung-Pin Cheng, Yu-Ru Cheng;219-229;2006;CIAA 2006
Yu-Ru Cheng;On-the-Fly Branching Bisimulation Minimization for Compositional Analysis.;Yung-Pin Cheng, Hong-Yi Wang;219-229;2006;CIAA 2006
Tim Fernando;Finite-State Temporal Projection.;nan;230-241;2006;CIAA 2006
Matthieu Constant;Compiling Linguistic Constraints into Finite State Automata.;Denis Maurel;242-252;2006;CIAA 2006
Denis Maurel;Compiling Linguistic Constraints into Finite State Automata.;Matthieu Constant;242-252;2006;CIAA 2006
José Fortes Gálvez;Shift-Resolve Parsing: Simple, Unbounded Lookahead, Linear Time.;Sylvain Schmitz, Jacques Farré;253-264;2006;CIAA 2006
Sylvain Schmitz;Shift-Resolve Parsing: Simple, Unbounded Lookahead, Linear Time.;José Fortes Gálvez, Jacques Farré;253-264;2006;CIAA 2006
Jacques Farré;Shift-Resolve Parsing: Simple, Unbounded Lookahead, Linear Time.;José Fortes Gálvez, Sylvain Schmitz;253-264;2006;CIAA 2006
Manuel Vazquez de Parga;A Family of Algorithms for Non Deterministic Regular Languages Inference.;Pedro García, José Ruiz;265-274;2006;CIAA 2006
Pedro García;A Family of Algorithms for Non Deterministic Regular Languages Inference.;Manuel Vazquez de Parga, José Ruiz;265-274;2006;CIAA 2006
José Ruiz;A Family of Algorithms for Non Deterministic Regular Languages Inference.;Manuel Vazquez de Parga, Pedro García;265-274;2006;CIAA 2006
Ruhsan Onder;XSLT Version 2.0 Is Turing-Complete: A Purely Transformation Based Proof.;Zeki Bayram;275-276;2006;CIAA 2006
Zeki Bayram;XSLT Version 2.0 Is Turing-Complete: A Purely Transformation Based Proof.;Ruhsan Onder;275-276;2006;CIAA 2006
Suman Roy;A Finite Union of DFAs in Symbolic Model Checking of Infinite Systems.;Bhaskar Chakraborty;277-278;2006;CIAA 2006
Bhaskar Chakraborty;A Finite Union of DFAs in Symbolic Model Checking of Infinite Systems.;Suman Roy;277-278;2006;CIAA 2006
Guowu Yang;Universality of Hybrid Quantum Gates and Synthesis Without Ancilla Qudits.;Fei Xie, Xiaoyu Song, Marek A. Perkowski;279-280;2006;CIAA 2006
Fei Xie;Universality of Hybrid Quantum Gates and Synthesis Without Ancilla Qudits.;Guowu Yang, Xiaoyu Song, Marek A. Perkowski;279-280;2006;CIAA 2006
Xiaoyu Song;Universality of Hybrid Quantum Gates and Synthesis Without Ancilla Qudits.;Guowu Yang, Fei Xie, Marek A. Perkowski;279-280;2006;CIAA 2006
Marek A. Perkowski;Universality of Hybrid Quantum Gates and Synthesis Without Ancilla Qudits.;Guowu Yang, Fei Xie, Xiaoyu Song;279-280;2006;CIAA 2006
Michael Luttenberger;Reachability Analysis of Procedural Programs with Affine Integer Arithmetic.;nan;281-282;2006;CIAA 2006
Guillaume Bonfante;Lexical Disambiguation with Polarities and Automata.;Joseph Le Roux, Guy Perrier;283-284;2006;CIAA 2006
Joseph Le Roux;Lexical Disambiguation with Polarities and Automata.;Guillaume Bonfante, Guy Perrier;283-284;2006;CIAA 2006
Guy Perrier;Lexical Disambiguation with Polarities and Automata.;Guillaume Bonfante, Joseph Le Roux;283-284;2006;CIAA 2006
Adrian D. Thurston;Parsing Computer Languages with an Automaton Compiled from a Single Regular Expression.;nan;285-286;2006;CIAA 2006
Heikki Hyyrö;Tighter Packed Bit-Parallel NFA for Approximate String Matching.;nan;287-289;2006;CIAA 2006
Natasa Jonoska;Using Automata to Describe Self-Assembled Nanostructures.;nan;1-3;2010;CIAA 2010
Karen Rudie;A Summary of Some Discrete-Event System Control Problems.;nan;4-16;2010;CIAA 2010
Cyril Allauzen;Large-Scale Training of SVMs with Automata Kernels.;Corinna Cortes, Mehryar Mohri;17-27;2010;CIAA 2010
Corinna Cortes;Large-Scale Training of SVMs with Automata Kernels.;Cyril Allauzen, Mehryar Mohri;17-27;2010;CIAA 2010
Mehryar Mohri;Large-Scale Training of SVMs with Automata Kernels.;Cyril Allauzen, Corinna Cortes;17-27;2010;CIAA 2010
Cyril Allauzen;Filters for Efficient Composition of Weighted Finite-State Transducers.;Michael Riley, Johan Schalkwyk;28-38;2010;CIAA 2010
Michael Riley;Filters for Efficient Composition of Weighted Finite-State Transducers.;Cyril Allauzen, Johan Schalkwyk;28-38;2010;CIAA 2010
Johan Schalkwyk;Filters for Efficient Composition of Weighted Finite-State Transducers.;Cyril Allauzen, Michael Riley;28-38;2010;CIAA 2010
Marco Almeida;Incremental DFA Minimisation.;Nelma Moreira, Rogério Reis;39-48;2010;CIAA 2010
Nelma Moreira;Incremental DFA Minimisation.;Marco Almeida, Rogério Reis;39-48;2010;CIAA 2010
Rogério Reis;Incremental DFA Minimisation.;Marco Almeida, Nelma Moreira;39-48;2010;CIAA 2010
Jan Antos;Finite Automata for Generalized Approach to Backward Pattern Matching.;Borivoj Melichar;49-58;2010;CIAA 2010
Borivoj Melichar;Finite Automata for Generalized Approach to Backward Pattern Matching.;Jan Antos;49-58;2010;CIAA 2010
José Bacelar Almeida;Partial Derivative Automata Formalized in Coq.;Nelma Moreira, David Pereira, Simão Melo de Sousa;59-68;2010;CIAA 2010
Nelma Moreira;Partial Derivative Automata Formalized in Coq.;José Bacelar Almeida, David Pereira, Simão Melo de Sousa;59-68;2010;CIAA 2010
David Pereira;Partial Derivative Automata Formalized in Coq.;José Bacelar Almeida, Nelma Moreira, Simão Melo de Sousa;59-68;2010;CIAA 2010
Simão Melo de Sousa;Partial Derivative Automata Formalized in Coq.;José Bacelar Almeida, Nelma Moreira, David Pereira;59-68;2010;CIAA 2010
Jean-Marc Champarnaud;Regular Geometrical Languages and Tiling the Plane.;Jean-Philippe Dubernard, Hadrien Jeanne;69-78;2010;CIAA 2010
Jean-Philippe Dubernard;Regular Geometrical Languages and Tiling the Plane.;Jean-Marc Champarnaud, Hadrien Jeanne;69-78;2010;CIAA 2010
Hadrien Jeanne;Regular Geometrical Languages and Tiling the Plane.;Jean-Marc Champarnaud, Jean-Philippe Dubernard;69-78;2010;CIAA 2010
Krzysztof Chmiel;COMPAS - A Computing Package for Synchronization.;Adam Roman;79-86;2010;CIAA 2010
Adam Roman;COMPAS - A Computing Package for Synchronization.;Krzysztof Chmiel;79-86;2010;CIAA 2010
Alessandro Cimatti;From Sequential Extended Regular Expressions to NFA with Symbolic Labels.;Sergio Mover, Marco Roveri, Stefano Tonetta;87-94;2010;CIAA 2010
Sergio Mover;From Sequential Extended Regular Expressions to NFA with Symbolic Labels.;Alessandro Cimatti, Marco Roveri, Stefano Tonetta;87-94;2010;CIAA 2010
Marco Roveri;From Sequential Extended Regular Expressions to NFA with Symbolic Labels.;Alessandro Cimatti, Sergio Mover, Stefano Tonetta;87-94;2010;CIAA 2010
Stefano Tonetta;From Sequential Extended Regular Expressions to NFA with Symbolic Labels.;Alessandro Cimatti, Sergio Mover, Marco Roveri;87-94;2010;CIAA 2010
Bo Cui;State Complexity of Catenation Combined with Union and Intersection.;Yuan Gao, Lila Kari, Sheng Yu;95-104;2010;CIAA 2010
Yuan Gao;State Complexity of Catenation Combined with Union and Intersection.;Bo Cui, Lila Kari, Sheng Yu;95-104;2010;CIAA 2010
Lila Kari;State Complexity of Catenation Combined with Union and Intersection.;Bo Cui, Yuan Gao, Sheng Yu;95-104;2010;CIAA 2010
Sheng Yu;State Complexity of Catenation Combined with Union and Intersection.;Bo Cui, Yuan Gao, Lila Kari;95-104;2010;CIAA 2010
Volker Diekert;Complexity Results and the Growths of Hairpin Completions of Regular Languages (Extended Abstract).;Steffen Kopecki;105-114;2010;CIAA 2010
Steffen Kopecki;Complexity Results and the Growths of Hairpin Completions of Regular Languages (Extended Abstract).;Volker Diekert;105-114;2010;CIAA 2010
Attila Egri-Nagy;On Straight Words and Minimal Permutators in Finite Transformation Semigroups.;Chrystopher L. Nehaniv;115-124;2010;CIAA 2010
Chrystopher L. Nehaniv;On Straight Words and Minimal Permutators in Finite Transformation Semigroups.;Attila Egri-Nagy;115-124;2010;CIAA 2010
Chiara Epifanio;On Lazy Representations and Sturmian Graphs.;Christiane Frougny, Alessandra Gabriele, Filippo Mignosi, Jeffrey O. Shallit;125-134;2010;CIAA 2010
Christiane Frougny;On Lazy Representations and Sturmian Graphs.;Chiara Epifanio, Alessandra Gabriele, Filippo Mignosi, Jeffrey O. Shallit;125-134;2010;CIAA 2010
Alessandra Gabriele;On Lazy Representations and Sturmian Graphs.;Chiara Epifanio, Christiane Frougny, Filippo Mignosi, Jeffrey O. Shallit;125-134;2010;CIAA 2010
Filippo Mignosi;On Lazy Representations and Sturmian Graphs.;Chiara Epifanio, Christiane Frougny, Alessandra Gabriele, Jeffrey O. Shallit;125-134;2010;CIAA 2010
Jeffrey O. Shallit;On Lazy Representations and Sturmian Graphs.;Chiara Epifanio, Christiane Frougny, Alessandra Gabriele, Filippo Mignosi;125-134;2010;CIAA 2010
Wit Forys;Symbolic Dynamics, Flower Automata and Infinite Traces.;Piotr Oprocha, Slawomir Bakalarski;135-142;2010;CIAA 2010
Piotr Oprocha;Symbolic Dynamics, Flower Automata and Infinite Traces.;Wit Forys, Slawomir Bakalarski;135-142;2010;CIAA 2010
Slawomir Bakalarski;Symbolic Dynamics, Flower Automata and Infinite Traces.;Wit Forys, Piotr Oprocha;135-142;2010;CIAA 2010
Radu Grosu;The Cayley-Hamilton Theorem for Noncommutative Semirings.;nan;143-153;2010;CIAA 2010
Michael Gerbush;Approximating Minimum Reset Sequences.;Brent Heeringa;154-162;2010;CIAA 2010
Brent Heeringa;Approximating Minimum Reset Sequences.;Michael Gerbush;154-162;2010;CIAA 2010
Norbert Hundeshagen;Transductions Computed by PC-Systems of Monotone Deterministic Restarting Automata.;Friedrich Otto, Marcel Vollweiler;163-172;2010;CIAA 2010
Friedrich Otto;Transductions Computed by PC-Systems of Monotone Deterministic Restarting Automata.;Norbert Hundeshagen, Marcel Vollweiler;163-172;2010;CIAA 2010
