Author;Title;Co-Authors;Pagination;Published in
K. Narayan Kumar;Adjacent Ordered Multi-Pushdown Systems.;Mohamed Faouzi Atig, Prakash Saivasan;58-69;2013
Prakash Saivasan;Adjacent Ordered Multi-Pushdown Systems.;Mohamed Faouzi Atig, K. Narayan Kumar;58-69;2013
Martin Berglund;Cuts in Regular Expressions.;Henrik Björklund, Frank Drewes, Brink van der Merwe, Bruce W. Watson;70-81;2013
Henrik Björklund;Cuts in Regular Expressions.;Martin Berglund, Frank Drewes, Brink van der Merwe, Bruce W. Watson;70-81;2013
Frank Drewes;Cuts in Regular Expressions.;Martin Berglund, Henrik Björklund, Brink van der Merwe, Bruce W. Watson;70-81;2013
Brink van der Merwe;Cuts in Regular Expressions.;Martin Berglund, Henrik Björklund, Frank Drewes, Bruce W. Watson;70-81;2013
Bruce W. Watson;Cuts in Regular Expressions.;Martin Berglund, Henrik Björklund, Frank Drewes, Brink van der Merwe;70-81;2013
Alberto Bertoni;Quantum Finite Automata and Linear Context-Free Languages: A Decidable Problem.;Christian Choffrut, Flavio D'Alessandro;82-93;2013
Christian Choffrut;Quantum Finite Automata and Linear Context-Free Languages: A Decidable Problem.;Alberto Bertoni, Flavio D'Alessandro;82-93;2013
Flavio D'Alessandro;Quantum Finite Automata and Linear Context-Free Languages: A Decidable Problem.;Alberto Bertoni, Christian Choffrut;82-93;2013
Francine Blanchet-Sadri;On the Asymptotic Abelian Complexity of Morphic Words.;Nathan Fox;94-105;2013
Nathan Fox;On the Asymptotic Abelian Complexity of Morphic Words.;Francine Blanchet-Sadri;94-105;2013
Francine Blanchet-Sadri;Strict Bounds for Pattern Avoidance.;Brent Woodhouse;106-117;2013
Brent Woodhouse;Strict Bounds for Pattern Avoidance.;Francine Blanchet-Sadri;106-117;2013
Benedikt Bollig;A Fresh Approach to Learning Register Automata.;Peter Habermehl, Martin Leucker, Benjamin Monmege;118-130;2013
Peter Habermehl;A Fresh Approach to Learning Register Automata.;Benedikt Bollig, Martin Leucker, Benjamin Monmege;118-130;2013
Martin Leucker;A Fresh Approach to Learning Register Automata.;Benedikt Bollig, Peter Habermehl, Benjamin Monmege;118-130;2013
Benjamin Monmege;A Fresh Approach to Learning Register Automata.;Benedikt Bollig, Peter Habermehl, Martin Leucker;118-130;2013
Silvia Bonomo;Suffixes, Conjugates and Lyndon Words.;Sabrina Mantaci, Antonio Restivo, Giovanna Rosone, Marinella Sciortino;131-142;2013
Sabrina Mantaci;Suffixes, Conjugates and Lyndon Words.;Silvia Bonomo, Antonio Restivo, Giovanna Rosone, Marinella Sciortino;131-142;2013
Antonio Restivo;Suffixes, Conjugates and Lyndon Words.;Silvia Bonomo, Sabrina Mantaci, Giovanna Rosone, Marinella Sciortino;131-142;2013
Giovanna Rosone;Suffixes, Conjugates and Lyndon Words.;Silvia Bonomo, Sabrina Mantaci, Antonio Restivo, Marinella Sciortino;131-142;2013
