Name;Title;Co-Authors;Pagintation;Published in;LNCS-link;Abstract
Stijn Cambie;Extremal Binary PFAs in a Černý Family.;Michiel de Bondt, Henk Don;[<span itemprop="pagination">78-89</span>];[<meta content="2021" itemprop="datePublished"/>]
Michiel de Bondt;Extremal Binary PFAs in a Černý Family.;Stijn Cambie, Henk Don;[<span itemprop="pagination">78-89</span>];[<meta content="2021" itemprop="datePublished"/>]
Henk Don;Extremal Binary PFAs in a Černý Family.;Stijn Cambie, Michiel de Bondt;[<span itemprop="pagination">78-89</span>];[<meta content="2021" itemprop="datePublished"/>]
Laura Ciobanu;Variations on the Post Correspondence Problem for Free Groups.;Alan D. Logan;[<span itemprop="pagination">90-102</span>];[<meta content="2021" itemprop="datePublished"/>]
Alan D. Logan;Variations on the Post Correspondence Problem for Free Groups.;Laura Ciobanu;[<span itemprop="pagination">90-102</span>];[<meta content="2021" itemprop="datePublished"/>]
Stefano Crespi-Reghizzi;Reducing Local Alphabet Size in Recognizable Picture Languages.;Antonio Restivo, Pierluigi San Pietro;[<span itemprop="pagination">103-116</span>];[<meta content="2021" itemprop="datePublished"/>]
Antonio Restivo;Reducing Local Alphabet Size in Recognizable Picture Languages.;Stefano Crespi-Reghizzi, Pierluigi San Pietro;[<span itemprop="pagination">103-116</span>];[<meta content="2021" itemprop="datePublished"/>]
Pierluigi San Pietro;Reducing Local Alphabet Size in Recognizable Picture Languages.;Stefano Crespi-Reghizzi, Antonio Restivo;[<span itemprop="pagination">103-116</span>];[<meta content="2021" itemprop="datePublished"/>]
Volker Diekert;Properties of Graphs Specified by a Regular Language.;Henning Fernau, Petra Wolf;[<span itemprop="pagination">117-129</span>];[<meta content="2021" itemprop="datePublished"/>]
Henning Fernau;Properties of Graphs Specified by a Regular Language.;Volker Diekert, Petra Wolf;[<span itemprop="pagination">117-129</span>];[<meta content="2021" itemprop="datePublished"/>]
Petra Wolf;Properties of Graphs Specified by a Regular Language.;Volker Diekert, Henning Fernau;[<span itemprop="pagination">117-129</span>];[<meta content="2021" itemprop="datePublished"/>]
Luc Edixhoven;Balanced-By-Construction Regular and ømega-Regular Languages.;Sung-Shik Jongmans;[<span itemprop="pagination">130-142</span>];[<meta content="2021" itemprop="datePublished"/>]
Sung-Shik Jongmans;Balanced-By-Construction Regular and ømega-Regular Languages.;Luc Edixhoven;[<span itemprop="pagination">130-142</span>];[<meta content="2021" itemprop="datePublished"/>]
Yannik Eikmeier;Weighted Prefix Normal Words: Mind the Gap.;Pamela Fleischmann, Mitja Kulczynski, Dirk Nowotka;[<span itemprop="pagination">143-154</span>];[<meta content="2021" itemprop="datePublished"/>]
Pamela Fleischmann;Weighted Prefix Normal Words: Mind the Gap.;Yannik Eikmeier, Mitja Kulczynski, Dirk Nowotka;[<span itemprop="pagination">143-154</span>];[<meta content="2021" itemprop="datePublished"/>]
Mitja Kulczynski;Weighted Prefix Normal Words: Mind the Gap.;Yannik Eikmeier, Pamela Fleischmann, Dirk Nowotka;[<span itemprop="pagination">143-154</span>];[<meta content="2021" itemprop="datePublished"/>]
Dirk Nowotka;Weighted Prefix Normal Words: Mind the Gap.;Yannik Eikmeier, Pamela Fleischmann, Mitja Kulczynski;[<span itemprop="pagination">143-154</span>];[<meta content="2021" itemprop="datePublished"/>]
